,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
955,Male,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
956,Male,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
957,Male,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
958,Infant,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
959,Male,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
960,Male,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7
961,Female,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
962,Infant,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
963,Male,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
964,Infant,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
965,Male,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
966,Infant,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7
967,Infant,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
968,Male,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
969,Male,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
970,Female,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
971,Male,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
972,Female,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
973,Male,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
974,Female,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
975,Female,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8
976,Male,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7
977,Female,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
978,Male,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
979,Male,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
980,Female,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
981,Female,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
982,Female,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9
983,Female,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
984,Male,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
985,Male,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10
986,Female,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
987,Male,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
988,Male,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
989,Male,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
990,Female,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
991,Female,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
992,Female,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
993,Male,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
994,Female,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8
995,Male,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
996,Male,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11
997,Male,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
998,Female,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
999,Female,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
1000,Female,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11
1001,Male,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9
1002,Female,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
1003,Male,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
1004,Female,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
1005,Male,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
1006,Male,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
1007,Male,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11
1008,Male,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
1009,Female,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
1010,Female,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11
1011,Female,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
1012,Male,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
1013,Female,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
1014,Female,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
1015,Female,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
1016,Male,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8
1017,Female,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
1018,Male,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8
1019,Male,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
1020,Male,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
1021,Male,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10
1022,Female,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11
1023,Female,0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10
1024,Female,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
1025,Male,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
1026,Male,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8
1027,Female,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8
1028,Male,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11
1029,Female,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
1030,Female,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
1031,Male,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9
1032,Male,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
1033,Male,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10
1034,Female,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
1035,Female,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10
1036,Female,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
1037,Male,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
1038,Male,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
1039,Female,0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6
1040,Male,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
1041,Female,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
1042,Female,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12
1043,Male,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
1044,Male,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8
1045,Male,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10
1046,Female,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10
1047,Female,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12
1048,Male,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
1049,Male,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
1050,Female,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
1051,Female,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
1052,Male,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12
1053,Infant,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
1054,Infant,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
1055,Infant,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
1056,Infant,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
1057,Infant,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
1058,Infant,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
1059,Infant,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
1060,Infant,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
1061,Infant,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6
1062,Infant,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
1063,Infant,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
1064,Infant,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6
1065,Infant,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6
1066,Infant,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
1067,Infant,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
1068,Infant,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
1069,Infant,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
1070,Infant,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
1071,Infant,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7
1072,Infant,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6
1073,Infant,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7
1074,Infant,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
1075,Infant,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6
1076,Infant,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
1077,Infant,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
1078,Infant,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
1079,Infant,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7
1080,Male,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7
1081,Infant,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
1082,Infant,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7
1083,Infant,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
1084,Infant,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
1085,Infant,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
1086,Infant,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
1087,Infant,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
1088,Infant,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6
1089,Infant,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
1090,Infant,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
1091,Infant,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6
1092,Infant,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
1093,Male,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
1094,Infant,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
1095,Infant,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
1096,Infant,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
1097,Infant,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
1098,Male,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
1099,Infant,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
1100,Infant,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9
1101,Infant,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8
1102,Male,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6
1103,Female,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7
1104,Infant,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8
1105,Female,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
1106,Infant,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9
1107,Infant,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
1108,Infant,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
1109,Male,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9
1110,Infant,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8
1111,Infant,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8
1112,Female,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7
1113,Infant,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8
1114,Infant,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9
1115,Male,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9
1116,Infant,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
1117,Infant,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
1118,Infant,0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9
1119,Infant,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10
1120,Male,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
1121,Male,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9
1122,Male,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9
1123,Female,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8
1124,Female,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8
1125,Male,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10
1126,Male,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9
1127,Male,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8
1128,Female,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
1129,Male,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
1130,Male,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9
1131,Male,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8
1132,Female,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
1133,Male,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
1134,Female,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8
1135,Infant,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8
1136,Female,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7
1137,Female,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10
1138,Male,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9
1139,Female,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9
1140,Male,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9
1141,Infant,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10
1142,Male,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9
1143,Male,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
1144,Male,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8
1145,Male,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
1146,Male,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9
1147,Male,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
1148,Male,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8
1149,Female,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9
1150,Male,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
1151,Male,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7
1152,Male,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8
1153,Female,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9
1154,Male,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8
1155,Female,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8
1156,Male,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10
1157,Female,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
1158,Male,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9
1159,Male,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
1160,Female,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9
1161,Male,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8
1162,Male,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9
1163,Male,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
1164,Male,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
1165,Female,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
1166,Female,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9
1167,Male,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
1168,Male,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
1169,Female,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
1170,Female,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
1171,Male,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8
1172,Male,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8
1173,Male,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
1174,Female,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
1175,Male,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10
1176,Male,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10
1177,Female,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
1178,Female,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
1179,Male,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11
1180,Male,0.655,0.515,0.16,1.31,0.553,0.369,0.345,11
1181,Female,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
1182,Female,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11
1183,Male,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8
1184,Infant,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9
1185,Female,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9
1186,Female,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14
1187,Male,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10
1188,Female,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9
1189,Male,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
1190,Female,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
1191,Male,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10
1192,Male,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9
1193,Male,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
1194,Female,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
1195,Female,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
1196,Female,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11
1197,Male,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12
1198,Male,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10
1199,Female,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
1200,Female,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
1201,Male,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8
1202,Male,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
1203,Female,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12
1204,Male,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
1205,Male,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
1206,Female,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11
1207,Female,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
1208,Male,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
1209,Female,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
1210,Infant,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
1211,Infant,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
1212,Infant,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
1213,Infant,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
1214,Infant,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6
1215,Infant,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5
1216,Infant,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
1217,Infant,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5
1218,Infant,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5
1219,Infant,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
1220,Infant,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
1221,Infant,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
1222,Infant,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
1223,Infant,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6
1224,Infant,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6
1225,Infant,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
1226,Infant,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6
1227,Infant,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8
1228,Infant,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
1229,Infant,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6
1230,Infant,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7
1231,Infant,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7
1232,Infant,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
1233,Infant,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6
1234,Infant,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5
1235,Infant,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7
1236,Infant,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6
1237,Infant,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
1238,Infant,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8
1239,Infant,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7
1240,Infant,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6
1241,Infant,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
1242,Infant,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9
1243,Infant,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8
1244,Infant,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7
1245,Infant,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
1246,Infant,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7
1247,Infant,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
1248,Infant,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8
1249,Infant,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5
1250,Infant,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5
1251,Infant,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
1252,Infant,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
1253,Infant,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6
1254,Infant,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7
1255,Infant,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
1256,Infant,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
1257,Infant,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8
1258,Infant,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8
1259,Infant,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7
1260,Infant,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9
1261,Infant,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
1262,Infant,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8
1263,Female,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
1264,Infant,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
1265,Infant,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
1266,Infant,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9
1267,Female,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
1268,Infant,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11
1269,Infant,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
1270,Infant,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
1271,Infant,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8
1272,Infant,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8
1273,Infant,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
1274,Infant,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
1275,Infant,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
1276,Infant,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
1277,Infant,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
1278,Infant,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
1279,Infant,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
1280,Male,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
1281,Infant,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
1282,Male,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
1283,Infant,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9
1284,Infant,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9
1285,Infant,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
1286,Infant,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9
1287,Infant,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
1288,Infant,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
1289,Infant,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8
1290,Infant,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
1291,Infant,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
1292,Infant,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9
1293,Infant,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
1294,Infant,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,9
1295,Infant,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9
1296,Male,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9
1297,Infant,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,9
1298,Infant,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10
1299,Infant,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,9
1300,Infant,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
1301,Infant,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
1302,Infant,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
1303,Female,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9
1304,Male,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9
1305,Female,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
1306,Infant,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
1307,Infant,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,8
1308,Female,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
1309,Infant,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10
1310,Infant,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8
1311,Infant,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
1312,Female,0.55,0.405,0.125,0.651,0.2965,0.137,0.2,9
1313,Male,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
1314,Infant,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
1315,Infant,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9
1316,Male,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
1317,Infant,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10
1318,Infant,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9
1319,Infant,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
